# --- Points ---
P 3 533
P 5 576
P 9 31
P 9 306
P 10 180
P 11 574
P 12 210
P 13 563
P 15 499
P 16 186
P 20 187
P 24 391
P 24 447
P 25 68
P 25 371
P 27 135
P 27 562
P 30 107
P 34 330
P 34 410
P 39 348
P 40 441
P 43 21
P 44 122
P 45 577
P 54 581
P 58 130
P 58 518
P 58 558
P 62 395
P 63 307
P 65 74
P 65 140
P 68 175
P 71 426
P 88 542
P 94 98
P 94 525
P 95 585
P 97 35
P 98 203
P 101 270
P 102 532
P 105 147
P 106 471
P 107 528
P 112 323
P 113 349
P 115 566
P 116 277
P 118 365
P 124 193
P 134 82
P 141 47
P 144 253
P 145 36
P 154 491
P 158 585
P 160 572
P 164 137
P 167 11
P 167 514
P 171 139
P 171 462
P 171 537
P 172 573
P 178 93
P 181 458
P 185 196
P 188 116
P 189 67
P 193 460
P 196 466
P 199 512
P 200 344
P 200 546
P 203 455
P 205 347
P 210 588
P 211 343
P 212 394
P 220 516
P 221 110
P 222 83
P 222 147
P 225 291
P 234 191
P 234 336
P 235 320
P 237 295
P 241 143
P 244 497
P 246 112
P 246 573
P 248 374
P 252 47
P 258 587
P 259 494
P 260 416
P 260 533
P 261 505
P 268 591
P 269 582
P 273 453
P 276 129
P 277 506
P 280 425
P 282 179
P 293 582
P 295 80
P 296 420
P 301 346
P 302 62
P 304 108
P 306 362
P 306 597
P 312 549
P 313 477
P 317 499
P 318 196
P 324 273
P 328 71
P 332 183
P 332 459
P 333 473
P 337 464
P 345 209
P 349 456
P 350 594
P 353 491
P 357 354
P 359 209
P 360 66
P 362 342
P 363 192
P 364 179
P 364 497
P 366 121
P 369 201
P 370 273
P 370 388
P 376 339
P 377 484
P 378 516
P 380 93
P 383 79
P 384 425
P 385 308
P 388 364
P 398 253
P 398 447
P 404 179
P 405 157
P 408 303
P 420 489
P 420 571
P 424 200
P 426 441
P 428 226
P 428 472
P 430 478
P 432 436
P 434 154
P 436 57
P 437 472
P 442 321
P 451 369
P 452 352
P 453 327
P 453 458
P 459 32
P 463 116
P 463 449
P 466 205
P 466 567
P 473 192
P 474 348
P 475 464
P 476 371
P 478 12
P 483 175
P 483 420
P 488 51
P 488 171
P 494 438
P 498 551
P 499 63
P 500 49
P 500 362
P 508 47
P 510 152
P 511 440
P 512 236
P 515 29
P 520 402
P 521 394
P 522 101
P 525 326
P 525 592
P 532 170
P 534 504
P 536 321
P 545 387
P 545 460
P 545 492
P 548 529
P 549 528
P 550 523
P 551 385
P 551 562
P 555 237
P 558 117
P 559 372
P 562 383
P 563 103
P 565 7
P 568 136
P 568 202
P 575 438
P 576 430
P 580 38
P 581 429
P 596 338
P 596 589
P 598 186
P 599 398
# --- Lines ---
E -8390254 -100000 -9490 168
E -2138074 100000 -14 555
E -29393 -100000 31 43
E -10115 100000 23 637
E -9624 100000 75 572
E -9490 168 -9377 168
E -9490 168 -334 410
E -9377 168 -632 237
E -9377 168 -116 106
E -7960 -100000 97 -77
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
